date,slot,row_type,prodcode,prodname,md,bpu,brand,category,UV,PV,cust,ord,qty,rev,h_UV,h_PV,h_cust,h_ord,h_qty,h_rev
2024-07-01,Total,TOTAL, , , , , , ,107,185,6,7,7,302909.090909091,71,88,3,4,4,173090.909090909
2024-07-01,오전,SLOT,IEPA4E501MU,[2PACK] 타슬란 하프 팬츠,유대규(yoodk0706),e-영업1,일꼬르소,남성,89,146,6,7,7,302909.090909091,55,68,3,4,4,173090.909090909
2024-07-01,오후,SLOT,DNGF4F956BK,[ONLINE EXCLUSIVE][BEST SELLER] 블랙 하우스 체크 경량 토트백,차단비(danbi),e-영업1,닥스,골프,21,39,0,0,0,0,19,20,,,,
2024-07-02,Total,TOTAL, , , , , , ,97,220,2,3,3,507681.818181818,37,43,1,1,1,169227.272727273
2024-07-02,오전,SLOT,DMPA4B303B2,[클리어런스][BEST 재입고] 테이퍼드핏 써머 데님,이상희(ray),e-영업1,닥스,남성,19,43,2,3,3,507681.818181818,8,10,1,1,1,169227.272727273
2024-07-02,오후,SLOT,AEBL4B402WT,러플 핀턱 블라우스 화이트,강승혜(kshsh0802),e-영업1,앳코너,여성,79,177,0,0,0,0,30,33,,,,
2024-07-03,Total,TOTAL, , , , , , ,27,47,0,0,0,0,22,26,,,,
2024-07-03,오전,SLOT,DNGF4F951BK,[ONLINE EXCLUSIVE][BEST SELLER] 블랙 하우스 체크 경량 숄더백,차단비(danbi),e-영업1,닥스,골프,19,34,0,0,0,0,14,15,,,,
2024-07-03,오후,SLOT,FXBCXXS01XX,로브제 부아 소바쥬 핸드 + 바디 솝 500ML,홍지영(hjy1094),e-영업4,로브제,뷰티,9,13,0,0,0,0,9,11,,,,
2024-07-04,Total,TOTAL, , , , , , ,121,269,6,6,7,305454.545454545,70,87,2,2,2,92363.6363636364
2024-07-04,오전,SLOT,JLSO4E605W2,[엘피] 브라운 소가죽 피셔맨 샌들,배미선(msbae),e-영업1,질 바이 질스튜어트,잡화,57,129,3,3,3,192000,29,36,1,1,1,64000
